tanggal,nama_produk,harga,jumlah
2026-05-13,Bolu Kukus,20947,16
2026-05-10,Oreo,16566,11
2026-05-07,Bolu Kukus,19544,14
2026-05-13,Bolu Kukus,19059,22
2026-05-09,Bolu Kukus,13715,19
2026-05-13,Keripik Pisang,13927,18
2026-05-13,Kopi Bubuk,18411,23
2026-05-08,Oreo,12161,21
2026-05-10,Keripik Pisang,13691,11
2026-05-08,Keripik Pisang,19784,12
2026-05-07,Kopi Bubuk,13575,19
2026-05-10,Bolu Kukus,11692,28
2026-05-07,Keripik Pisang,18170,24
2026-05-11,Oreo,12471,11
2026-05-12,Bolu Kukus,16099,11
2026-05-13,Oreo,16341,30
2026-05-09,Kopi Bubuk,15670,11
2026-05-08,Bolu Kukus,20470,29
2026-05-12,Bolu Kukus,17075,11
2026-05-11,Keripik Pisang,16825,29
2026-05-10,Bolu Kukus,11564,13
2026-05-08,Oreo,12210,12
2026-05-11,Oreo,19141,12
2026-05-11,Bolu Kukus,20724,10
2026-05-07,Kopi Bubuk,18634,22
2026-05-12,Kopi Bubuk,13466,12
2026-05-13,Bolu Kukus,16101,16
2026-05-13,Keripik Pisang,16211,27
2026-05-11,Keripik Pisang,12226,24
2026-05-12,Oreo,14365,11
2026-05-11,Oreo,11876,15
2026-05-12,Keripik Pisang,16740,18
2026-05-12,Bolu Kukus,19269,17
2026-05-12,Keripik Pisang,11626,28
2026-05-10,Kopi Bubuk,17642,19
2026-05-07,Keripik Pisang,17518,30
2026-05-10,Keripik Pisang,18035,15
2026-05-12,Kopi Bubuk,19872,13
2026-05-10,Bolu Kukus,15656,14
2026-05-12,Keripik Pisang,20668,10
2026-05-10,Bolu Kukus,18758,15
2026-05-13,Kopi Bubuk,12663,17
2026-05-13,Kopi Bubuk,11855,20
2026-05-09,Oreo,15530,19
2026-05-07,Bolu Kukus,11748,25
2026-05-11,Oreo,16604,17
2026-05-11,Oreo,20884,17
2026-05-08,Oreo,12159,11
2026-05-13,Kopi Bubuk,18382,22
2026-05-12,Keripik Pisang,13531,24
2026-05-13,Kopi Bubuk,17731,23
2026-05-11,Keripik Pisang,13471,23
2026-05-10,Keripik Pisang,17576,10
2026-05-10,Kopi Bubuk,13147,16
2026-05-10,Bolu Kukus,15922,24
2026-05-10,Oreo,17586,29
2026-05-09,Bolu Kukus,14151,15
2026-05-10,Keripik Pisang,11837,25
2026-05-13,Kopi Bubuk,20328,29
2026-05-12,Oreo,18318,21
2026-05-09,Bolu Kukus,13752,21
2026-05-09,Oreo,15073,25
2026-05-08,Kopi Bubuk,11565,26
2026-05-13,Keripik Pisang,20001,28
2026-05-11,Bolu Kukus,16251,14
2026-05-12,Oreo,20383,16
2026-05-11,Kopi Bubuk,15019,26
2026-05-13,Bolu Kukus,12835,15
2026-05-07,Oreo,18862,29
2026-05-09,Keripik Pisang,14495,20
2026-05-10,Oreo,16219,19
2026-05-08,Keripik Pisang,11626,29
2026-05-07,Bolu Kukus,15191,22
2026-05-07,Oreo,18170,13
2026-05-11,Bolu Kukus,12579,14
2026-05-07,Keripik Pisang,12783,27
2026-05-13,Oreo,14003,10
2026-05-10,Keripik Pisang,14613,29
2026-05-09,Kopi Bubuk,12462,19
2026-05-13,Bolu Kukus,14948,27
2026-05-12,Keripik Pisang,12236,12
2026-05-09,Bolu Kukus,16811,23
2026-05-12,Oreo,12296,21
2026-05-13,Bolu Kukus,13949,28
2026-05-10,Bolu Kukus,11827,14
2026-05-12,Oreo,19427,20
2026-05-09,Keripik Pisang,13119,13
2026-05-08,Kopi Bubuk,16405,12
2026-05-09,Kopi Bubuk,15842,17
2026-05-09,Oreo,20185,30
2026-05-11,Bolu Kukus,11683,14
2026-05-12,Keripik Pisang,14460,28
2026-05-10,Keripik Pisang,19697,21
2026-05-10,Oreo,20904,11
2026-05-09,Bolu Kukus,14076,29
2026-05-07,Keripik Pisang,13318,29
2026-05-07,Kopi Bubuk,20663,23
2026-05-11,Keripik Pisang,16168,19
2026-05-07,Keripik Pisang,19252,28
2026-05-07,Bolu Kukus,19165,25
2026-05-13,Oreo,19880,29
2026-05-11,Keripik Pisang,18910,29
2026-05-09,Bolu Kukus,17445,17
2026-05-09,Keripik Pisang,20535,18
2026-05-10,Oreo,17961,26
2026-05-08,Kopi Bubuk,20050,14
2026-05-12,Keripik Pisang,19675,19
2026-05-12,Keripik Pisang,12330,10
2026-05-07,Oreo,11611,14
2026-05-08,Oreo,16313,10
2026-05-07,Keripik Pisang,20446,19
2026-05-11,Bolu Kukus,15766,12
2026-05-12,Keripik Pisang,19803,10
2026-05-07,Oreo,13796,10
2026-05-09,Keripik Pisang,19144,11
2026-05-13,Bolu Kukus,13534,29
2026-05-11,Kopi Bubuk,15740,29
2026-05-08,Keripik Pisang,17498,28
2026-05-07,Oreo,14083,24
2026-05-09,Keripik Pisang,13665,20
2026-05-10,Keripik Pisang,20384,26
2026-05-07,Bolu Kukus,20453,24
2026-05-07,Bolu Kukus,19053,27
2026-05-10,Bolu Kukus,12854,20
2026-05-08,Keripik Pisang,20607,30
2026-05-10,Oreo,17769,11
2026-05-08,Kopi Bubuk,15842,27
2026-05-12,Oreo,11589,16
2026-05-11,Kopi Bubuk,13995,22
2026-05-08,Bolu Kukus,13929,24
2026-05-07,Oreo,15765,24
2026-05-12,Kopi Bubuk,17628,27
2026-05-13,Bolu Kukus,12849,15
2026-05-09,Bolu Kukus,12815,11
2026-05-10,Kopi Bubuk,12174,16
2026-05-07,Keripik Pisang,16232,14
2026-05-11,Bolu Kukus,13222,29
2026-05-08,Kopi Bubuk,12944,23
2026-05-12,Bolu Kukus,18978,13
2026-05-09,Oreo,19335,18
2026-05-08,Keripik Pisang,18117,22
2026-05-12,Oreo,18166,29
2026-05-12,Keripik Pisang,20139,17
2026-05-12,Bolu Kukus,20282,16
2026-05-11,Kopi Bubuk,12421,22
2026-05-09,Kopi Bubuk,20792,23
2026-05-09,Kopi Bubuk,14667,20
2026-05-07,Kopi Bubuk,17094,27
2026-05-13,Oreo,14770,27
2026-05-09,Keripik Pisang,18060,21
2026-05-12,Kopi Bubuk,15597,12
2026-05-07,Kopi Bubuk,16510,25
2026-05-12,Bolu Kukus,13401,12
2026-05-13,Kopi Bubuk,12533,27
2026-05-12,Bolu Kukus,20084,28
2026-05-09,Oreo,17417,18
2026-05-07,Bolu Kukus,20727,22
2026-05-13,Kopi Bubuk,19050,27
2026-05-11,Bolu Kukus,19770,29
2026-05-13,Kopi Bubuk,15489,22
2026-05-08,Oreo,16748,27
2026-05-10,Oreo,17757,30
2026-05-09,Oreo,11541,14
2026-05-12,Keripik Pisang,15788,28
2026-05-13,Bolu Kukus,11521,27
2026-05-12,Kopi Bubuk,20031,10
2026-05-12,Kopi Bubuk,13116,25
2026-05-12,Oreo,19441,26
2026-05-09,Oreo,16182,17
2026-05-07,Kopi Bubuk,18340,27
2026-05-13,Keripik Pisang,17191,14
2026-05-08,Oreo,13885,20
2026-05-12,Keripik Pisang,17953,19
2026-05-09,Keripik Pisang,13928,25
2026-05-08,Keripik Pisang,19621,18
2026-05-10,Oreo,11853,19
2026-05-07,Kopi Bubuk,15931,21
2026-05-12,Keripik Pisang,13469,30
2026-05-07,Oreo,20791,13
2026-05-09,Kopi Bubuk,13546,10
2026-05-10,Keripik Pisang,15955,15
2026-05-09,Keripik Pisang,19714,11
2026-05-07,Kopi Bubuk,14048,24
2026-05-13,Oreo,12353,12
2026-05-11,Keripik Pisang,20947,20
2026-05-12,Bolu Kukus,20919,12
2026-05-09,Oreo,20616,24
2026-05-11,Bolu Kukus,16922,12
2026-05-09,Bolu Kukus,15821,14
2026-05-10,Keripik Pisang,19372,10
2026-05-12,Keripik Pisang,12778,20
2026-05-07,Keripik Pisang,20655,20
2026-05-08,Oreo,14170,18
2026-05-08,Oreo,12345,20
2026-05-07,Keripik Pisang,13518,14
2026-05-13,Bolu Kukus,18067,15
2026-05-08,Kopi Bubuk,14893,25
2026-05-07,Oreo,18680,22
2026-05-09,Oreo,15110,10
2026-05-07,Oreo,15054,28
2026-05-12,Kopi Bubuk,12233,16
2026-05-11,Bolu Kukus,18103,18
2026-05-07,Keripik Pisang,15810,15
2026-05-07,Oreo,20700,28
2026-05-10,Kopi Bubuk,20326,10
2026-05-11,Kopi Bubuk,16440,13
2026-05-12,Bolu Kukus,16772,30
2026-05-11,Oreo,17919,12
2026-05-08,Oreo,12451,16
2026-05-09,Keripik Pisang,19492,12
2026-05-12,Keripik Pisang,20454,22
2026-05-09,Oreo,15756,20
2026-05-08,Bolu Kukus,14149,11
2026-05-08,Keripik Pisang,18746,29
2026-05-11,Keripik Pisang,12333,26
2026-05-09,Kopi Bubuk,13270,14
2026-05-07,Kopi Bubuk,12442,29
2026-05-09,Keripik Pisang,20954,24
2026-05-09,Keripik Pisang,11750,16
2026-05-11,Kopi Bubuk,17938,22
2026-05-09,Kopi Bubuk,16418,22
2026-05-09,Bolu Kukus,16136,24
2026-05-10,Oreo,12260,17
2026-05-11,Kopi Bubuk,17177,26
2026-05-11,Oreo,20661,11
2026-05-10,Keripik Pisang,20750,11
2026-05-11,Bolu Kukus,17852,15
2026-05-13,Oreo,20053,13
2026-05-13,Oreo,16283,24
2026-05-07,Kopi Bubuk,19584,29
2026-05-07,Kopi Bubuk,18499,23
2026-05-12,Kopi Bubuk,19726,30
2026-05-08,Bolu Kukus,12895,24
2026-05-09,Bolu Kukus,12046,21
2026-05-08,Keripik Pisang,12945,23
2026-05-12,Bolu Kukus,15050,21
2026-05-13,Oreo,13821,24
2026-05-08,Bolu Kukus,18870,23
2026-05-13,Bolu Kukus,15589,10
2026-05-07,Bolu Kukus,18191,23
2026-05-11,Kopi Bubuk,14115,18
2026-05-09,Bolu Kukus,20200,16
2026-05-07,Kopi Bubuk,19141,19
2026-05-08,Kopi Bubuk,15122,12
2026-05-12,Oreo,19839,16
2026-05-10,Oreo,13872,27
2026-05-08,Bolu Kukus,15719,20
2026-05-10,Bolu Kukus,14469,25
2026-05-11,Bolu Kukus,18336,25
2026-05-11,Bolu Kukus,19704,17
2026-05-13,Kopi Bubuk,12575,11
2026-05-08,Bolu Kukus,16442,20
2026-05-12,Keripik Pisang,18782,29
2026-05-07,Oreo,15932,26
2026-05-13,Keripik Pisang,20665,27
2026-05-09,Keripik Pisang,15098,25
2026-05-11,Keripik Pisang,15482,17
2026-05-09,Oreo,16332,18
2026-05-09,Kopi Bubuk,15977,12
2026-05-08,Keripik Pisang,17330,23
2026-05-08,Kopi Bubuk,16655,30
2026-05-08,Keripik Pisang,13751,11
2026-05-08,Kopi Bubuk,20067,30
2026-05-12,Oreo,12790,30
2026-05-09,Oreo,16585,18
2026-05-11,Oreo,14610,17
2026-05-08,Bolu Kukus,17717,23
2026-05-13,Oreo,16100,15
2026-05-09,Keripik Pisang,17943,18
2026-05-08,Keripik Pisang,11996,22
2026-05-10,Kopi Bubuk,16801,16
2026-05-12,Kopi Bubuk,15337,14
2026-05-08,Kopi Bubuk,17196,15
2026-05-08,Kopi Bubuk,12963,30
2026-05-10,Kopi Bubuk,17672,11
2026-05-13,Keripik Pisang,19653,14
2026-05-08,Oreo,16238,15
2026-05-08,Bolu Kukus,20225,15
2026-05-07,Kopi Bubuk,18333,23
2026-05-08,Keripik Pisang,12370,25
2026-05-11,Oreo,11770,16
2026-05-10,Kopi Bubuk,19270,25
2026-05-13,Kopi Bubuk,15795,13
2026-05-11,Keripik Pisang,13788,30
2026-05-07,Keripik Pisang,18274,29
2026-05-11,Kopi Bubuk,17500,10
2026-05-08,Oreo,14979,12
2026-05-09,Keripik Pisang,12863,29
2026-05-08,Oreo,19007,12
2026-05-08,Bolu Kukus,14074,16
2026-05-08,Bolu Kukus,11787,14
2026-05-13,Keripik Pisang,19511,18
2026-05-11,Keripik Pisang,15627,18
2026-05-07,Bolu Kukus,15410,14
2026-05-12,Bolu Kukus,17094,14
2026-05-13,Kopi Bubuk,17601,27
2026-05-11,Bolu Kukus,17061,24
2026-05-13,Keripik Pisang,12777,28
2026-05-10,Keripik Pisang,13336,29
2026-05-08,Bolu Kukus,14810,25
2026-05-13,Oreo,14020,16
2026-05-08,Keripik Pisang,11820,30
2026-05-11,Kopi Bubuk,16943,18
2026-05-13,Keripik Pisang,18921,27
2026-05-13,Oreo,17638,15
2026-05-08,Bolu Kukus,18774,18
2026-05-10,Kopi Bubuk,13198,20
2026-05-12,Keripik Pisang,16374,26
2026-05-10,Oreo,18379,30
2026-05-08,Keripik Pisang,20079,28
2026-05-10,Bolu Kukus,18048,14
2026-05-12,Keripik Pisang,18862,21
2026-05-08,Bolu Kukus,18640,30
2026-05-10,Bolu Kukus,13432,19
2026-05-08,Bolu Kukus,14874,17
2026-05-07,Kopi Bubuk,12241,16
2026-05-13,Keripik Pisang,13956,19
2026-05-08,Bolu Kukus,13885,25
2026-05-07,Keripik Pisang,19560,21
2026-05-11,Oreo,14014,22
2026-05-09,Bolu Kukus,16937,19
2026-05-10,Kopi Bubuk,15938,30
2026-05-13,Keripik Pisang,19647,20
2026-05-10,Oreo,20115,13
2026-05-09,Oreo,12348,17
2026-05-11,Keripik Pisang,13186,26
2026-05-07,Kopi Bubuk,13618,28
2026-05-08,Keripik Pisang,17900,21
2026-05-09,Bolu Kukus,20632,28
2026-05-11,Keripik Pisang,19320,20
2026-05-08,Keripik Pisang,13655,25
2026-05-12,Oreo,18547,22
2026-05-12,Oreo,15792,18
2026-05-10,Bolu Kukus,19372,18
2026-05-13,Kopi Bubuk,14459,27
2026-05-10,Bolu Kukus,13395,29
2026-05-13,Keripik Pisang,15292,19
2026-05-12,Keripik Pisang,20334,14
2026-05-07,Kopi Bubuk,14721,24
2026-05-13,Oreo,16555,22
2026-05-08,Keripik Pisang,19303,21
2026-05-07,Kopi Bubuk,19228,15
2026-05-10,Keripik Pisang,14485,24
2026-05-11,Bolu Kukus,13515,16
2026-05-09,Bolu Kukus,11896,29
2026-05-11,Bolu Kukus,19420,30
2026-05-10,Bolu Kukus,18181,30
2026-05-13,Kopi Bubuk,20352,11
2026-05-10,Oreo,19118,13
2026-05-12,Keripik Pisang,19404,11
2026-05-11,Bolu Kukus,16823,20
2026-05-10,Bolu Kukus,12508,29
2026-05-07,Kopi Bubuk,12191,16
2026-05-10,Bolu Kukus,14947,11
2026-05-11,Kopi Bubuk,19722,19
2026-05-07,Keripik Pisang,20138,21
2026-05-10,Oreo,15998,17
2026-05-12,Kopi Bubuk,13234,14
2026-05-08,Bolu Kukus,20578,25
2026-05-10,Bolu Kukus,15674,19
2026-05-13,Keripik Pisang,19824,15
2026-05-08,Kopi Bubuk,17125,21
2026-05-09,Kopi Bubuk,11950,16
2026-05-08,Keripik Pisang,19370,14
2026-05-08,Oreo,13153,16
2026-05-07,Bolu Kukus,15579,18
2026-05-10,Oreo,15279,28
2026-05-10,Bolu Kukus,18601,18
2026-05-11,Bolu Kukus,11972,11
2026-05-13,Keripik Pisang,12558,23
2026-05-12,Bolu Kukus,17661,28
2026-05-08,Bolu Kukus,18829,30
2026-05-12,Keripik Pisang,20653,19
2026-05-12,Bolu Kukus,14899,17
2026-05-10,Bolu Kukus,16660,11
2026-05-13,Bolu Kukus,20003,29
2026-05-11,Keripik Pisang,19254,28
2026-05-09,Kopi Bubuk,17329,28
2026-05-08,Bolu Kukus,11974,23
2026-05-07,Keripik Pisang,14383,16
2026-05-09,Bolu Kukus,20501,30
2026-05-07,Keripik Pisang,15055,21
2026-05-12,Bolu Kukus,11511,14
