tanggal,id_produk,nama_produk,kategori_produk,harga_satuan,stok_awal,stok_akhir,jumlah_terjual,total_penjualan,diskon_persen,promo_aktif,biaya_promosi,kanal_penjualan,hari_dalam_minggu,akhir_pekan,bulan,musim_ramadan_lebaran,cuaca,jumlah_pengunjung,rating_produk
2024-01-02,P012,Paket hampers,kerajinan,95000,10,2,8,684000,10,1,76000,offline,Tuesday,0,1,0,berawan,70,4.6
2024-01-03,P001,Paket nasi lauk,makanan_minuman,17500,51,16,35,612500,0,0,0,offline,Wednesday,0,1,0,berawan,102,4.3
2024-01-03,P002,Minuman kopi susu,makanan_minuman,16000,80,12,68,979200,10,1,108800,campuran,Wednesday,0,1,0,berawan,102,4.3
2024-01-03,P003,Snack kemasan lokal,makanan_minuman,9000,71,0,71,607000,5,1,32000,campuran,Wednesday,0,1,0,berawan,102,4.1
2024-01-03,P004,Kaos basic,fashion,65000,12,2,10,650000,0,0,0,offline,Wednesday,0,1,0,berawan,102,4.1
2024-01-03,P005,Hijab polos,fashion,46500,21,3,18,837000,0,0,0,campuran,Wednesday,0,1,0,berawan,102,4.8
2024-01-03,P006,Sandal harian,fashion,56500,15,11,4,226000,0,0,0,offline,Wednesday,0,1,0,berawan,102,4.1
2024-01-03,P007,Sabun cuci literan,kebutuhan_rumah,17000,57,22,35,535500,10,1,59500,online,Wednesday,0,1,0,berawan,102,4.1
2024-01-03,P008,Beras 5 kg,kebutuhan_rumah,77500,38,19,19,1398900,5,1,73600,offline,Wednesday,0,1,0,berawan,102,4.4
2024-01-03,P009,Minyak goreng 1 liter,kebutuhan_rumah,19500,32,0,32,624000,0,0,0,offline,Wednesday,0,1,0,berawan,102,4.4
2024-01-03,P010,Aksesori ponsel,aksesoris,26500,22,0,22,524700,10,1,58300,online,Wednesday,0,1,0,berawan,102,4.0
2024-01-03,P011,Buket mini,kerajinan,47500,13,3,10,427500,10,1,47500,offline,Wednesday,0,1,0,berawan,102,4.7
2024-01-03,P012,Paket hampers,kerajinan,99500,10,1,9,895500,0,0,0,offline,Wednesday,0,1,0,berawan,102,4.4
2024-01-04,P001,Paket nasi lauk,makanan_minuman,19000,48,10,38,722000,0,0,0,offline,Thursday,0,1,0,hujan_ringan,82,4.3
2024-01-04,P002,Minuman kopi susu,makanan_minuman,15500,40,0,40,620000,0,0,0,online,Thursday,0,1,0,hujan_ringan,82,4.2
2024-01-04,P003,Snack kemasan lokal,makanan_minuman,9500,92,39,53,453200,10,1,50400,offline,Thursday,0,1,0,hujan_ringan,82,4.2
2024-01-04,P004,Kaos basic,fashion,60500,12,5,7,423500,0,0,0,online,Thursday,0,1,0,hujan_ringan,82,4.3
2024-01-04,P005,Hijab polos,fashion,40500,20,11,9,364500,0,0,0,offline,Thursday,0,1,0,hujan_ringan,82,4.6
2024-01-04,P006,Sandal harian,fashion,58000,10,0,10,580000,0,0,0,offline,Thursday,0,1,0,hujan_ringan,82,4.1
2024-01-04,P007,Sabun cuci literan,kebutuhan_rumah,16500,29,5,24,396000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,82,4.3
2024-01-04,P008,Beras 5 kg,kebutuhan_rumah,66000,19,9,10,660000,0,0,0,offline,Thursday,0,1,0,hujan_ringan,82,4.7
2024-01-04,P009,Minyak goreng 1 liter,kebutuhan_rumah,19000,39,9,30,570000,0,0,0,online,Thursday,0,1,0,hujan_ringan,82,4.3
2024-01-04,P010,Aksesori ponsel,aksesoris,24500,40,29,11,229100,15,1,40400,offline,Thursday,0,1,0,hujan_ringan,82,4.1
2024-01-04,P011,Buket mini,kerajinan,42500,7,0,7,297500,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,82,4.9
2024-01-04,P012,Paket hampers,kerajinan,93000,6,1,5,465000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,82,4.4
2024-01-05,P001,Paket nasi lauk,makanan_minuman,17500,52,10,42,735000,0,0,0,offline,Friday,0,1,0,cerah,100,4.5
2024-01-05,P002,Minuman kopi susu,makanan_minuman,14000,113,60,53,630700,15,1,111300,offline,Friday,0,1,0,cerah,100,4.5
2024-01-05,P003,Snack kemasan lokal,makanan_minuman,9000,78,33,45,405000,0,0,0,offline,Friday,0,1,0,cerah,100,4.2
2024-01-05,P004,Kaos basic,fashion,63000,13,0,13,819000,0,0,0,offline,Friday,0,1,0,cerah,100,4.2
2024-01-05,P005,Hijab polos,fashion,43500,20,4,16,696000,0,0,0,online,Friday,0,1,0,cerah,100,4.5
2024-01-05,P006,Sandal harian,fashion,54500,18,8,10,545000,0,0,0,offline,Friday,0,1,0,cerah,100,4.5
2024-01-05,P007,Sabun cuci literan,kebutuhan_rumah,17000,44,18,26,442000,0,0,0,online,Friday,0,1,0,cerah,100,4.1
2024-01-05,P008,Beras 5 kg,kebutuhan_rumah,73500,31,22,9,661500,0,0,0,campuran,Friday,0,1,0,cerah,100,4.7
2024-01-05,P009,Minyak goreng 1 liter,kebutuhan_rumah,18000,46,16,30,540000,0,0,0,offline,Friday,0,1,0,cerah,100,4.3
2024-01-05,P010,Aksesori ponsel,aksesoris,27000,50,23,27,692600,5,1,36400,campuran,Friday,0,1,0,cerah,100,3.8
2024-01-05,P011,Buket mini,kerajinan,45000,14,4,10,450000,0,0,0,online,Friday,0,1,0,cerah,100,4.9
2024-01-05,P012,Paket hampers,kerajinan,100000,9,6,3,300000,0,0,0,offline,Friday,0,1,0,cerah,100,4.7
2024-01-06,P001,Paket nasi lauk,makanan_minuman,17000,68,14,54,918000,0,0,0,offline,Saturday,1,1,0,berawan,146,4.5
2024-01-06,P002,Minuman kopi susu,makanan_minuman,14500,99,45,54,783000,0,0,0,offline,Saturday,1,1,0,berawan,146,4.5
2024-01-06,P003,Snack kemasan lokal,makanan_minuman,9000,111,33,78,702000,0,0,0,campuran,Saturday,1,1,0,berawan,146,4.0
2024-01-06,P004,Kaos basic,fashion,63000,22,1,21,1323000,0,0,0,online,Saturday,1,1,0,berawan,146,4.2
2024-01-06,P005,Hijab polos,fashion,42000,31,9,22,924000,0,0,0,offline,Saturday,1,1,0,berawan,146,4.3
2024-01-06,P006,Sandal harian,fashion,55500,21,2,19,1001800,5,1,52700,online,Saturday,1,1,0,berawan,146,4.1
2024-01-06,P007,Sabun cuci literan,kebutuhan_rumah,16500,53,9,44,726000,0,0,0,online,Saturday,1,1,0,berawan,146,4.5
2024-01-06,P008,Beras 5 kg,kebutuhan_rumah,72500,38,15,23,1667500,0,0,0,online,Saturday,1,1,0,berawan,146,4.5
2024-01-06,P009,Minyak goreng 1 liter,kebutuhan_rumah,18500,116,52,64,1124800,5,1,59200,campuran,Saturday,1,1,0,berawan,146,4.6
2024-01-06,P010,Aksesori ponsel,aksesoris,25500,54,35,19,484500,0,0,0,campuran,Saturday,1,1,0,berawan,146,4.0
2024-01-06,P011,Buket mini,kerajinan,43500,17,0,17,739500,0,0,0,campuran,Saturday,1,1,0,berawan,146,4.6
2024-01-06,P012,Paket hampers,kerajinan,95000,16,5,11,1045000,0,0,0,campuran,Saturday,1,1,0,berawan,146,4.6
2024-01-07,P001,Paket nasi lauk,makanan_minuman,18500,81,45,36,632700,5,1,33300,online,Sunday,1,1,0,hujan_deras,85,4.5
2024-01-07,P002,Minuman kopi susu,makanan_minuman,14500,45,6,39,565500,0,0,0,campuran,Sunday,1,1,0,hujan_deras,85,4.7
2024-01-07,P003,Snack kemasan lokal,makanan_minuman,9000,96,38,58,495900,5,1,26100,offline,Sunday,1,1,0,hujan_deras,85,4.4
2024-01-07,P004,Kaos basic,fashion,65000,15,7,8,520000,0,0,0,campuran,Sunday,1,1,0,hujan_deras,85,4.4
2024-01-07,P005,Hijab polos,fashion,43000,21,10,11,473000,0,0,0,online,Sunday,1,1,0,hujan_deras,85,4.6
2024-01-07,P006,Sandal harian,fashion,56000,21,5,16,761600,15,1,134400,offline,Sunday,1,1,0,hujan_deras,85,4.2
2024-01-07,P007,Sabun cuci literan,kebutuhan_rumah,16500,33,9,24,396000,0,0,0,online,Sunday,1,1,0,hujan_deras,85,4.1
2024-01-07,P008,Beras 5 kg,kebutuhan_rumah,71500,22,1,21,1501500,0,0,0,online,Sunday,1,1,0,hujan_deras,85,4.5
2024-01-07,P009,Minyak goreng 1 liter,kebutuhan_rumah,19000,68,44,24,433200,5,1,22800,offline,Sunday,1,1,0,hujan_deras,85,4.4
2024-01-07,P010,Aksesori ponsel,aksesoris,25500,37,13,24,550800,10,1,61200,offline,Sunday,1,1,0,hujan_deras,85,4.1
2024-01-07,P011,Buket mini,kerajinan,44500,9,0,9,400500,0,0,0,offline,Sunday,1,1,0,hujan_deras,85,4.7
2024-01-07,P012,Paket hampers,kerajinan,91500,9,7,2,183000,0,0,0,offline,Sunday,1,1,0,hujan_deras,85,4.6
2024-01-08,P001,Paket nasi lauk,makanan_minuman,18500,87,38,49,861200,5,1,45300,online,Monday,0,1,0,cerah,113,4.5
2024-01-08,P002,Minuman kopi susu,makanan_minuman,15500,57,10,47,728500,0,0,0,online,Monday,0,1,0,cerah,113,4.4
2024-01-08,P003,Snack kemasan lokal,makanan_minuman,9500,85,31,54,513000,0,0,0,online,Monday,0,1,0,cerah,113,4.3
2024-01-08,P004,Kaos basic,fashion,66500,20,14,6,399000,0,0,0,offline,Monday,0,1,0,cerah,113,4.0
2024-01-08,P005,Hijab polos,fashion,44500,42,23,19,803200,5,1,42300,online,Monday,0,1,0,cerah,113,4.7
2024-01-08,P006,Sandal harian,fashion,56000,21,7,14,744800,5,1,39200,online,Monday,0,1,0,cerah,113,4.1
2024-01-08,P007,Sabun cuci literan,kebutuhan_rumah,16500,41,17,24,396000,0,0,0,online,Monday,0,1,0,cerah,113,3.9
2024-01-08,P008,Beras 5 kg,kebutuhan_rumah,74500,36,11,25,1676200,10,1,186200,offline,Monday,0,1,0,cerah,113,4.7
2024-01-08,P009,Minyak goreng 1 liter,kebutuhan_rumah,19500,45,15,30,585000,0,0,0,online,Monday,0,1,0,cerah,113,4.3
2024-01-08,P010,Aksesori ponsel,aksesoris,24500,35,15,20,490000,0,0,0,offline,Monday,0,1,0,cerah,113,4.0
2024-01-08,P011,Buket mini,kerajinan,47500,11,0,11,522500,0,0,0,offline,Monday,0,1,0,cerah,113,5.0
2024-01-08,P012,Paket hampers,kerajinan,101000,15,4,11,888800,20,1,222200,offline,Monday,0,1,0,cerah,113,4.7
2024-01-09,P001,Paket nasi lauk,makanan_minuman,17000,40,6,34,578000,0,0,0,offline,Tuesday,0,1,0,hujan_ringan,58,4.6
2024-01-09,P002,Minuman kopi susu,makanan_minuman,14500,42,15,27,391500,0,0,0,online,Tuesday,0,1,0,hujan_ringan,58,4.4
2024-01-09,P003,Snack kemasan lokal,makanan_minuman,9000,63,9,54,486000,0,0,0,campuran,Tuesday,0,1,0,hujan_ringan,58,4.2
2024-01-09,P004,Kaos basic,fashion,59500,9,1,8,476000,0,0,0,online,Tuesday,0,1,0,hujan_ringan,58,4.1
2024-01-09,P005,Hijab polos,fashion,42000,26,5,21,882000,0,0,0,campuran,Tuesday,0,1,0,hujan_ringan,58,4.5
2024-01-09,P006,Sandal harian,fashion,53500,19,8,11,559100,5,1,29400,campuran,Tuesday,0,1,0,hujan_ringan,58,4.2
2024-01-09,P007,Sabun cuci literan,kebutuhan_rumah,16500,38,19,19,313500,0,0,0,campuran,Tuesday,0,1,0,hujan_ringan,58,4.2
2024-01-09,P008,Beras 5 kg,kebutuhan_rumah,70500,19,7,12,846000,0,0,0,campuran,Tuesday,0,1,0,hujan_ringan,58,4.7
2024-01-09,P009,Minyak goreng 1 liter,kebutuhan_rumah,19000,37,20,17,323000,0,0,0,offline,Tuesday,0,1,0,hujan_ringan,58,4.2
2024-01-09,P010,Aksesori ponsel,aksesoris,26000,23,11,12,312000,0,0,0,offline,Tuesday,0,1,0,hujan_ringan,58,4.2
2024-01-09,P011,Buket mini,kerajinan,45500,4,0,4,182000,0,0,0,online,Tuesday,0,1,0,hujan_ringan,58,4.9
2024-01-09,P012,Paket hampers,kerajinan,95000,7,3,4,380000,0,0,0,online,Tuesday,0,1,0,hujan_ringan,58,4.4
2024-01-10,P001,Paket nasi lauk,makanan_minuman,18000,48,18,30,540000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.4
2024-01-10,P002,Minuman kopi susu,makanan_minuman,15000,40,7,33,495000,0,0,0,online,Wednesday,0,1,0,berawan,84,4.2
2024-01-10,P003,Snack kemasan lokal,makanan_minuman,9000,67,28,39,351000,0,0,0,online,Wednesday,0,1,0,berawan,84,4.2
2024-01-10,P004,Kaos basic,fashion,68500,19,7,12,822000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.4
2024-01-10,P005,Hijab polos,fashion,42500,16,6,10,425000,0,0,0,online,Wednesday,0,1,0,berawan,84,4.3
2024-01-10,P006,Sandal harian,fashion,55000,12,2,10,550000,0,0,0,online,Wednesday,0,1,0,berawan,84,4.3
2024-01-10,P007,Sabun cuci literan,kebutuhan_rumah,16500,42,18,24,396000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.3
2024-01-10,P008,Beras 5 kg,kebutuhan_rumah,73500,20,4,16,1176000,0,0,0,campuran,Wednesday,0,1,0,berawan,84,4.6
2024-01-10,P009,Minyak goreng 1 liter,kebutuhan_rumah,18500,46,14,32,592000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.4
2024-01-10,P010,Aksesori ponsel,aksesoris,26500,27,12,15,397500,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.1
2024-01-10,P011,Buket mini,kerajinan,44500,14,10,4,178000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.7
2024-01-10,P012,Paket hampers,kerajinan,94000,6,0,6,564000,0,0,0,offline,Wednesday,0,1,0,berawan,84,4.6
2024-01-11,P001,Paket nasi lauk,makanan_minuman,17000,31,10,21,357000,0,0,0,online,Thursday,0,1,0,hujan_ringan,86,4.4
2024-01-11,P002,Minuman kopi susu,makanan_minuman,15000,42,20,22,330000,0,0,0,online,Thursday,0,1,0,hujan_ringan,86,4.5
2024-01-11,P003,Snack kemasan lokal,makanan_minuman,9000,61,22,39,351000,0,0,0,online,Thursday,0,1,0,hujan_ringan,86,4.3
2024-01-11,P004,Kaos basic,fashion,68000,17,7,10,680000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,86,4.3
2024-01-11,P005,Hijab polos,fashion,41500,22,16,6,249000,0,0,0,offline,Thursday,0,1,0,hujan_ringan,86,4.5
2024-01-11,P006,Sandal harian,fashion,54500,13,3,10,545000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,86,4.1
2024-01-11,P007,Sabun cuci literan,kebutuhan_rumah,18000,24,4,20,360000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,86,4.2
2024-01-11,P008,Beras 5 kg,kebutuhan_rumah,74500,30,18,12,849300,5,1,44700,offline,Thursday,0,1,0,hujan_ringan,86,4.7
2024-01-11,P009,Minyak goreng 1 liter,kebutuhan_rumah,20000,25,3,22,440000,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,86,4.3
2024-01-11,P010,Aksesori ponsel,aksesoris,24000,20,3,17,408000,0,0,0,online,Thursday,0,1,0,hujan_ringan,86,4.0
2024-01-11,P011,Buket mini,kerajinan,42500,11,4,7,297500,0,0,0,campuran,Thursday,0,1,0,hujan_ringan,86,4.5
2024-01-11,P012,Paket hampers,kerajinan,97000,7,3,4,388000,0,0,0,online,Thursday,0,1,0,hujan_ringan,86,4.9
2024-01-12,P001,Paket nasi lauk,makanan_minuman,17000,51,22,29,493000,0,0,0,offline,Friday,0,1,0,cerah,89,4.4
2024-01-12,P002,Minuman kopi susu,makanan_minuman,14500,85,49,36,522000,0,0,0,offline,Friday,0,1,0,cerah,89,4.3
2024-01-12,P003,Snack kemasan lokal,makanan_minuman,8000,65,21,44,352000,0,0,0,campuran,Friday,0,1,0,cerah,89,4.0
2024-01-12,P004,Kaos basic,fashion,68000,20,9,11,748000,0,0,0,campuran,Friday,0,1,0,cerah,89,4.2
2024-01-12,P005,Hijab polos,fashion,41000,23,5,18,738000,0,0,0,campuran,Friday,0,1,0,cerah,89,4.2
2024-01-12,P006,Sandal harian,fashion,53500,15,7,8,428000,0,0,0,offline,Friday,0,1,0,cerah,89,4.3
2024-01-12,P007,Sabun cuci literan,kebutuhan_rumah,18000,35,11,24,432000,0,0,0,online,Friday,0,1,0,cerah,89,4.1
2024-01-12,P008,Beras 5 kg,kebutuhan_rumah,68000,27,11,16,1088000,0,0,0,offline,Friday,0,1,0,cerah,89,4.6
2024-01-12,P009,Minyak goreng 1 liter,kebutuhan_rumah,19500,46,25,21,409500,0,0,0,offline,Friday,0,1,0,cerah,89,4.5
2024-01-12,P010,Aksesori ponsel,aksesoris,24500,31,14,17,416500,0,0,0,offline,Friday,0,1,0,cerah,89,4.1
2024-01-12,P011,Buket mini,kerajinan,47500,15,11,4,190000,0,0,0,online,Friday,0,1,0,cerah,89,4.9
2024-01-12,P012,Paket hampers,kerajinan,99000,6,4,2,198000,0,0,0,offline,Friday,0,1,0,cerah,89,4.6
2024-01-13,P001,Paket nasi lauk,makanan_minuman,18000,62,13,49,882000,0,0,0,online,Saturday,1,1,0,berawan,129,4.5
2024-01-13,P002,Minuman kopi susu,makanan_minuman,14500,76,13,63,913500,0,0,0,campuran,Saturday,1,1,0,berawan,129,4.1
2024-01-13,P003,Snack kemasan lokal,makanan_minuman,9000,54,0,54,486000,0,0,0,online,Saturday,1,1,0,berawan,129,3.8
2024-01-13,P004,Kaos basic,fashion,67000,20,8,12,804000,0,0,0,offline,Saturday,1,1,0,berawan,129,4.6
2024-01-13,P005,Hijab polos,fashion,43500,38,7,31,1213600,10,1,134800,online,Saturday,1,1,0,berawan,129,4.3
2024-01-13,P006,Sandal harian,fashion,52000,27,13,14,655200,10,1,72800,online,Saturday,1,1,0,berawan,129,3.9
2024-01-13,P007,Sabun cuci literan,kebutuhan_rumah,17000,74,47,27,459000,0,0,0,offline,Saturday,1,1,0,berawan,129,4.6
2024-01-13,P008,Beras 5 kg,kebutuhan_rumah,73000,33,2,31,2263000,0,0,0,offline,Saturday,1,1,0,berawan,129,4.5
2024-01-13,P009,Minyak goreng 1 liter,kebutuhan_rumah,19000,77,24,53,1007000,0,0,0,campuran,Saturday,1,1,0,berawan,129,4.5
2024-01-13,P010,Aksesori ponsel,aksesoris,24500,38,10,28,686000,0,0,0,offline,Saturday,1,1,0,berawan,129,3.9
2024-01-13,P011,Buket mini,kerajinan,44500,29,0,29,1032400,20,1,258100,offline,Saturday,1,1,0,berawan,129,4.9
2024-01-13,P012,Paket hampers,kerajinan,98000,15,2,13,1274000,0,0,0,campuran,Saturday,1,1,0,berawan,129,4.4
2024-01-14,P001,Paket nasi lauk,makanan_minuman,17500,60,29,31,542500,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.6
2024-01-14,P002,Minuman kopi susu,makanan_minuman,15000,67,35,32,480000,0,0,0,offline,Sunday,1,1,0,hujan_ringan,104,4.5
2024-01-14,P003,Snack kemasan lokal,makanan_minuman,9000,81,25,56,504000,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.0
2024-01-14,P004,Kaos basic,fashion,63000,26,15,11,693000,0,0,0,offline,Sunday,1,1,0,hujan_ringan,104,4.3
2024-01-14,P005,Hijab polos,fashion,40500,40,21,19,731000,5,1,38500,online,Sunday,1,1,0,hujan_ringan,104,4.6
2024-01-14,P006,Sandal harian,fashion,53500,12,1,11,588500,0,0,0,offline,Sunday,1,1,0,hujan_ringan,104,4.0
2024-01-14,P007,Sabun cuci literan,kebutuhan_rumah,17500,38,20,18,315000,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.4
2024-01-14,P008,Beras 5 kg,kebutuhan_rumah,78000,32,9,23,1794000,0,0,0,offline,Sunday,1,1,0,hujan_ringan,104,4.6
2024-01-14,P009,Minyak goreng 1 liter,kebutuhan_rumah,18500,60,26,34,629000,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.4
2024-01-14,P010,Aksesori ponsel,aksesoris,26000,27,9,18,468000,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.1
2024-01-14,P011,Buket mini,kerajinan,43000,10,1,9,387000,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,5.0
2024-01-14,P012,Paket hampers,kerajinan,95500,10,5,5,477500,0,0,0,online,Sunday,1,1,0,hujan_ringan,104,4.5
2024-01-15,P001,Paket nasi lauk,makanan_minuman,17500,58,18,40,700000,0,0,0,offline,Monday,0,1,0,cerah,93,4.3
2024-01-15,P002,Minuman kopi susu,makanan_minuman,15500,65,25,40,620000,0,0,0,offline,Monday,0,1,0,cerah,93,4.1
2024-01-15,P003,Snack kemasan lokal,makanan_minuman,9000,75,28,47,423000,0,0,0,offline,Monday,0,1,0,cerah,93,3.9
2024-01-15,P004,Kaos basic,fashion,63500,24,10,14,889000,0,0,0,campuran,Monday,0,1,0,cerah,93,4.1
2024-01-15,P005,Hijab polos,fashion,41500,26,8,18,747000,0,0,0,campuran,Monday,0,1,0,cerah,93,4.5
2024-01-15,P006,Sandal harian,fashion,56000,15,1,14,784000,0,0,0,online,Monday,0,1,0,cerah,93,4.0
2024-01-15,P007,Sabun cuci literan,kebutuhan_rumah,16000,38,0,38,608000,0,0,0,offline,Monday,0,1,0,cerah,93,4.0
2024-01-15,P008,Beras 5 kg,kebutuhan_rumah,74000,26,16,10,740000,0,0,0,offline,Monday,0,1,0,cerah,93,4.4
2024-01-15,P009,Minyak goreng 1 liter,kebutuhan_rumah,18000,49,19,30,540000,0,0,0,offline,Monday,0,1,0,cerah,93,4.4
2024-01-15,P010,Aksesori ponsel,aksesoris,25000,26,8,18,450000,0,0,0,campuran,Monday,0,1,0,cerah,93,4.2
2024-01-15,P011,Buket mini,kerajinan,47000,13,6,7,329000,0,0,0,offline,Monday,0,1,0,cerah,93,4.5
2024-01-15,P012,Paket hampers,kerajinan,92500,9,3,6,555000,0,0,0,online,Monday,0,1,0,cerah,93,4.8
2024-01-16,P001,Paket nasi lauk,makanan_minuman,18000,54,12,42,756000,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.5
2024-01-16,P002,Minuman kopi susu,makanan_minuman,14500,70,34,36,522000,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.4
2024-01-16,P003,Snack kemasan lokal,makanan_minuman,9000,114,39,75,641200,5,1,33800,online,Tuesday,0,1,0,cerah,98,3.8
2024-01-16,P004,Kaos basic,fashion,67500,14,1,13,877500,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.3
2024-01-16,P005,Hijab polos,fashion,39500,34,9,25,987500,0,0,0,campuran,Tuesday,0,1,0,cerah,98,4.3
2024-01-16,P006,Sandal harian,fashion,54000,16,2,14,756000,0,0,0,online,Tuesday,0,1,0,cerah,98,4.1
2024-01-16,P007,Sabun cuci literan,kebutuhan_rumah,17000,56,29,27,459000,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.2
2024-01-16,P008,Beras 5 kg,kebutuhan_rumah,68000,25,12,13,884000,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.4
2024-01-16,P009,Minyak goreng 1 liter,kebutuhan_rumah,18500,42,18,24,444000,0,0,0,online,Tuesday,0,1,0,cerah,98,4.3
2024-01-16,P010,Aksesori ponsel,aksesoris,25500,28,0,28,714000,0,0,0,offline,Tuesday,0,1,0,cerah,98,3.8
2024-01-16,P011,Buket mini,kerajinan,45500,10,2,8,364000,0,0,0,online,Tuesday,0,1,0,cerah,98,4.7
2024-01-16,P012,Paket hampers,kerajinan,96000,11,2,9,864000,0,0,0,offline,Tuesday,0,1,0,cerah,98,4.4
2024-01-17,P001,Paket nasi lauk,makanan_minuman,18000,68,14,54,777600,20,1,194400,offline,Wednesday,0,1,0,cerah,83,4.5
2024-01-17,P002,Minuman kopi susu,makanan_minuman,15000,42,7,35,525000,0,0,0,online,Wednesday,0,1,0,cerah,83,4.2
2024-01-17,P003,Snack kemasan lokal,makanan_minuman,9000,75,29,46,414000,0,0,0,campuran,Wednesday,0,1,0,cerah,83,4.0
2024-01-17,P004,Kaos basic,fashion,63500,20,10,10,635000,0,0,0,campuran,Wednesday,0,1,0,cerah,83,4.2
